LSOA code,LSOA name,lat_med,lon_med
W01000118,Gwynedd 007D,53.113408,-4.208059
W01000119,Gwynedd 004D,53.187094,-4.207235
W01000121,Conwy 015A,53.092219,-3.822591
W01000122,Conwy 014A,53.249021,-3.605652
W01000123,Conwy 013A,53.254403,-3.978662
W01000124,Conwy 012A,53.230513,-3.8482675
W01000125,Conwy 013B,53.277282,-3.900863
W01000126,Conwy 009A,53.288175,-3.697574
W01000127,Conwy 009B,53.290983,-3.683933
W01000128,Conwy 009C,53.289681,-3.69569
W01000129,Conwy 012B,53.28771,-3.841268
W01000130,Conwy 012C,53.280888,-3.829861
W01000131,Conwy 012D,53.276517,-3.840555
W01000132,Conwy 001A,53.320074,-3.812067
W01000133,Conwy 002A,53.318009,-3.806292
W01000134,Conwy 015B,53.138463,-3.796023
W01000135,Conwy 006A,53.302926,-3.826322
W01000136,Conwy 006B,53.2950695,-3.8314555
W01000137,Conwy 015C,53.2146,-3.792145
W01000138,Conwy 008A,53.287166,-3.702543
W01000139,Conwy 007A,53.288248,-3.706453
W01000140,Conwy 010B,53.28373,-3.579285
W01000141,Conwy 010C,53.282103,-3.589231
W01000142,Conwy 010D,53.276892,-3.586417
W01000143,Conwy 007B,53.29272,-3.724952
W01000144,Conwy 007C,53.294518,-3.724453
W01000145,Conwy 008B,53.286767,-3.718017
W01000146,Conwy 001B,53.32515,-3.831935
W01000147,Conwy 001C,53.321713,-3.841982
W01000148,Conwy 015D,53.140885,-3.800646
W01000149,Conwy 005A,53.309014,-3.525621
W01000150,Conwy 005B,53.2994985,-3.51397
W01000151,Conwy 005C,53.30401,-3.52167
W01000152,Conwy 005D,53.312258,-3.5167215
W01000153,Conwy 009D,53.289854,-3.641995
W01000154,Conwy 003A,53.301842,-3.75064
W01000155,Conwy 004A,53.304825,-3.743167
W01000156,Conwy 004B,53.310994,-3.741195
W01000157,Conwy 004C,53.310356,-3.747566
W01000158,Conwy 004D,53.30828,-3.751598
W01000159,Conwy 014B,53.163538,-3.686482
W01000162,Conwy 014C,53.178647,-3.596042
W01000163,Conwy 009E,53.287183,-3.677432
W01000164,Conwy 009F,53.283401999999995,-3.653735
W01000165,Conwy 006C,53.289277,-3.81597
W01000166,Conwy 006D,53.286884,-3.809685
W01000167,Conwy 011C,53.293164,-3.761778
W01000168,Conwy 002B,53.316901,-3.834005
W01000169,Conwy 001D,53.322359,-3.827836
W01000170,Conwy 013C,53.252846,-3.971281
W01000171,Conwy 013D,53.26842,-3.921354
W01000172,Conwy 013E,53.267342,-3.930016
W01000173,Conwy 003B,53.314272,-3.7818959999999997
W01000174,Conwy 003C,53.317846,-3.77542
W01000175,Conwy 003D,53.3148,-3.7717095
W01000176,Conwy 011D,53.283942,-3.803807
W01000177,Conwy 011E,53.286631,-3.796699
W01000178,Conwy 010E,53.28547,-3.579882
W01000179,Conwy 010F,53.28682,-3.58762
W01000180,Conwy 008C,53.287051,-3.734193
W01000181,Conwy 008D,53.286365,-3.736727
W01000182,Conwy 007D,53.296851,-3.730454
W01000183,Conwy 008E,53.2962735,-3.734308
W01000184,Conwy 005E,53.302098,-3.54118
W01000185,Conwy 015E,53.152546,-3.825361
W01000186,Conwy 001E,53.319709,-3.820417
W01000187,Conwy 002C,53.313044,-3.82567
W01000188,Conwy 002D,53.312825,-3.822828
W01000189,Conwy 015F,53.039444,-3.792597
W01000190,Conwy 014D,53.002395,-3.542713
W01000191,Denbighshire 009A,53.270003,-3.499163
W01000192,Denbighshire 016A,52.982224,-3.323008
W01000193,Denbighshire 015A,52.980868,-3.380726
W01000194,Denbighshire 011A,53.183734,-3.419409
W01000195,Denbighshire 012A,53.182749,-3.39777
W01000196,Denbighshire 012B,53.190783,-3.409034
W01000197,Denbighshire 012C,53.186024,-3.4076940000000002
W01000198,Denbighshire 011B,53.183452,-3.427068
W01000199,Denbighshire 011C,53.18402,-3.428118
W01000200,Denbighshire 008A,53.297009,-3.41322
W01000201,Denbighshire 008B,53.311284,-3.422068
W01000202,Denbighshire 015B,53.059455,-3.372835
W01000203,Denbighshire 013A,53.108554,-3.202304
W01000204,Denbighshire 013B,53.127802,-3.284773
W01000205,Denbighshire 016B,52.922743,-3.437944
W01000206,Denbighshire 013C,53.174378000000004,-3.336601
W01000207,Denbighshire 015C,53.02185,-3.276372
W01000208,Denbighshire 016C,52.970145,-3.171077
W01000209,Denbighshire 016D,52.96941,-3.163655
W01000210,Denbighshire 016E,52.968455,-3.16691
