model,val_mae,val_rmse,test_mae,test_rmse
poisson_a_0.0001,3.5519094214428426,5.10703415287862,3.6716427453893115,5.901822097605432
tweedie_p_1.1,3.557360483913936,5.140107123124766,3.655539587998811,5.841477138477234
poisson_a_0.001,3.5602496245158783,5.178842285860822,3.623062714268669,5.31661787496749
tweedie_p_1.3,3.5704672914207727,5.261221493480383,3.61072461825808,5.645190324770077
naive_lag_1,4.429501084598699,6.51878646731948,4.292841648590022,6.38276556927829
