LSOA code,LSOA name,forecast_month,pred_next,fill_color
W01000065,Gwynedd 009B,2026-02-01,6.77706298896124,"[255, 233, 233, 180]"
W01000066,Gwynedd 010A,2026-02-01,3.283071037330595,"[255, 239, 239, 180]"
W01000067,Gwynedd 016D,2026-02-01,10.164666228183686,"[255, 227, 227, 180]"
W01000068,Gwynedd 016E,2026-02-01,8.0511428696239,"[255, 231, 231, 180]"
W01000070,Gwynedd 012A,2026-02-01,4.213758189573263,"[255, 237, 237, 180]"
W01000071,Gwynedd 003B,2026-02-01,9.721855085564663,"[255, 228, 228, 180]"
W01000072,Gwynedd 002B,2026-02-01,10.263510941301172,"[255, 227, 227, 180]"
W01000073,Gwynedd 008A,2026-02-01,6.08049579916575,"[255, 234, 234, 180]"
W01000074,Gwynedd 013B,2026-02-01,6.4159539491095625,"[255, 234, 234, 180]"
W01000075,Gwynedd 002C,2026-02-01,11.696651356599137,"[255, 225, 225, 180]"
W01000076,Gwynedd 001B,2026-02-01,10.097140843420988,"[255, 228, 228, 180]"
W01000077,Gwynedd 001C,2026-02-01,17.23392234974983,"[255, 216, 216, 180]"
W01000078,Gwynedd 011C,2026-02-01,8.508249969424982,"[255, 230, 230, 180]"
W01000080,Gwynedd 014C,2026-02-01,8.941484779675934,"[255, 230, 230, 180]"
W01000081,Gwynedd 005B,2026-02-01,13.29214957427217,"[255, 222, 222, 180]"
W01000082,Gwynedd 015C,2026-02-01,2.79566758426574,"[255, 240, 240, 180]"
W01000083,Gwynedd 015D,2026-02-01,4.222854438130402,"[255, 237, 237, 180]"
W01000084,Gwynedd 014D,2026-02-01,3.1169524655945073,"[255, 239, 239, 180]"
W01000085,Gwynedd 017C,2026-02-01,6.933853367458863,"[255, 233, 233, 180]"
W01000086,Gwynedd 008B,2026-02-01,14.925390952883022,"[255, 219, 219, 180]"
W01000087,Gwynedd 004C,2026-02-01,6.823187326427717,"[255, 233, 233, 180]"
W01000088,Gwynedd 007B,2026-02-01,5.36550854515322,"[255, 236, 236, 180]"
W01000089,Gwynedd 011D,2026-02-01,10.666191807381612,"[255, 227, 227, 180]"
W01000090,Gwynedd 002D,2026-02-01,11.17284415185345,"[255, 226, 226, 180]"
W01000091,Gwynedd 001D,2026-02-01,9.90820521564987,"[255, 228, 228, 180]"
W01000092,Gwynedd 001E,2026-02-01,21.14074307496789,"[255, 209, 209, 180]"
W01000093,Gwynedd 006B,2026-02-01,22.95743977250242,"[255, 206, 206, 180]"
W01000094,Gwynedd 012B,2026-02-01,4.007543288279276,"[255, 238, 238, 180]"
W01000095,Gwynedd 012C,2026-02-01,6.423749604953896,"[255, 234, 234, 180]"
W01000096,Gwynedd 003C,2026-02-01,7.677335159551759,"[255, 232, 232, 180]"
W01000097,Gwynedd 003D,2026-02-01,8.928431622279243,"[255, 230, 230, 180]"
W01000098,Gwynedd 006C,2026-02-01,28.178668304395107,"[255, 197, 197, 180]"
W01000099,Gwynedd 005C,2026-02-01,3.9100721750475684,"[255, 238, 238, 180]"
W01000100,Gwynedd 010B,2026-02-01,4.456324225320833,"[255, 237, 237, 180]"
W01000101,Gwynedd 013D,2026-02-01,7.277701439412674,"[255, 232, 232, 180]"
W01000102,Gwynedd 002E,2026-02-01,18.801412733570817,"[255, 213, 213, 180]"
W01000103,Gwynedd 005D,2026-02-01,6.5224936271952245,"[255, 234, 234, 180]"
W01000104,Gwynedd 008C,2026-02-01,18.741503281129642,"[255, 213, 213, 180]"
W01000105,Gwynedd 010C,2026-02-01,12.417565799664658,"[255, 224, 224, 180]"
W01000106,Gwynedd 010D,2026-02-01,14.736113155685215,"[255, 220, 220, 180]"
W01000107,Gwynedd 010E,2026-02-01,7.89200745089905,"[255, 231, 231, 180]"
W01000108,Gwynedd 012D,2026-02-01,29.469852976571968,"[255, 195, 195, 180]"
W01000109,Gwynedd 012E,2026-02-01,12.261781299317372,"[255, 224, 224, 180]"
