Month,LSOA name,LSOA code,month_num,month_sin,month_cos,lag_1,lag_2,lag_3,roll_mean_3,roll_mean_6,forecast_month
2026-01-01,Flintshire 017F,W01000267,1,0.49999999999999994,0.8660254037844387,6.0,7.0,10.0,7.666666666666667,7.333333333333333,2026-02-01
2026-01-01,Flintshire 013B,W01000268,1,0.49999999999999994,0.8660254037844387,6.0,6.0,4.0,5.333333333333333,5.5,2026-02-01
2026-01-01,Flintshire 020A,W01000269,1,0.49999999999999994,0.8660254037844387,6.0,7.0,4.0,5.666666666666667,8.333333333333334,2026-02-01
2026-01-01,Flintshire 006B,W01000270,1,0.49999999999999994,0.8660254037844387,3.0,1.0,2.0,2.0,2.8333333333333335,2026-02-01
2026-01-01,Flintshire 006C,W01000271,1,0.49999999999999994,0.8660254037844387,3.0,4.0,9.0,5.333333333333333,6.333333333333333,2026-02-01
2026-01-01,Flintshire 006D,W01000272,1,0.49999999999999994,0.8660254037844387,7.0,3.0,7.0,5.666666666666667,7.0,2026-02-01
2026-01-01,Flintshire 007A,W01000273,1,0.49999999999999994,0.8660254037844387,14.0,13.0,10.0,12.333333333333334,13.833333333333334,2026-02-01
2026-01-01,Flintshire 007B,W01000274,1,0.49999999999999994,0.8660254037844387,22.0,21.0,27.0,23.333333333333332,25.666666666666668,2026-02-01
2026-01-01,Flintshire 007C,W01000275,1,0.49999999999999994,0.8660254037844387,14.0,15.0,18.0,15.666666666666666,14.833333333333334,2026-02-01
2026-01-01,Flintshire 008A,W01000276,1,0.49999999999999994,0.8660254037844387,2.0,4.0,1.0,2.3333333333333335,3.1666666666666665,2026-02-01
2026-01-01,Flintshire 008B,W01000277,1,0.49999999999999994,0.8660254037844387,6.0,5.0,7.0,6.0,7.0,2026-02-01
2026-01-01,Flintshire 007D,W01000278,1,0.49999999999999994,0.8660254037844387,12.0,8.0,33.0,17.666666666666668,15.833333333333334,2026-02-01
2026-01-01,Flintshire 008C,W01000279,1,0.49999999999999994,0.8660254037844387,2.0,2.0,10.0,4.666666666666667,5.833333333333333,2026-02-01
2026-01-01,Flintshire 010B,W01000280,1,0.49999999999999994,0.8660254037844387,4.0,2.0,5.0,3.6666666666666665,4.333333333333333,2026-02-01
2026-01-01,Flintshire 008D,W01000281,1,0.49999999999999994,0.8660254037844387,3.0,0.0,1.0,1.3333333333333333,1.6666666666666667,2026-02-01
2026-01-01,Flintshire 010C,W01000282,1,0.49999999999999994,0.8660254037844387,3.0,2.0,2.0,2.3333333333333335,2.3333333333333335,2026-02-01
2026-01-01,Flintshire 008E,W01000283,1,0.49999999999999994,0.8660254037844387,10.0,21.0,28.0,19.666666666666668,22.5,2026-02-01
2026-01-01,Flintshire 013C,W01000284,1,0.49999999999999994,0.8660254037844387,3.0,1.0,2.0,2.0,6.666666666666667,2026-02-01
2026-01-01,Flintshire 013D,W01000285,1,0.49999999999999994,0.8660254037844387,3.0,5.0,4.0,4.0,5.166666666666667,2026-02-01
2026-01-01,Flintshire 013E,W01000286,1,0.49999999999999994,0.8660254037844387,5.0,11.0,6.0,7.333333333333333,9.5,2026-02-01
2026-01-01,Flintshire 001A,W01000287,1,0.49999999999999994,0.8660254037844387,6.0,8.0,19.0,11.0,18.5,2026-02-01
